Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.platform.windows\src\ch\fhnw\mdt\platform\windows,1,21,14,8,2,7,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.platform\src,3,107,50,38,6,19,1,38,96,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.platform\src\ch,3,107,50,38,6,19,1,38,96,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.platform\src\ch\fhnw,3,107,50,38,6,19,1,38,96,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.platform\src\ch\fhnw\mdt,3,107,50,38,6,19,1,38,96,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.platform\src\ch\fhnw\mdt\platform,3,107,50,38,6,19,1,38,96,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences,4,866,482,387,59,73,6,311,1286,10,53
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src,4,866,482,387,59,73,6,311,1286,10,53
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\ch,3,419,253,208,20,70,1,96,344,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\ch\fhnw,3,419,253,208,20,70,1,96,344,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\ch\fhnw\mdt,3,419,253,208,20,70,1,96,344,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\ch\fhnw\mdt\preferences,3,419,253,208,20,70,1,96,344,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\org,1,447,229,179,39,3,5,215,942,10,53
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\org\eclipse,1,447,229,179,39,3,5,215,942,10,53
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\org\eclipse\wb,1,447,229,179,39,3,5,215,942,10,53
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.preferences\src\org\eclipse\wb\swt,1,447,229,179,39,3,5,215,942,10,53
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.targets,1,31,15,11,1,8,0,8,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.targets\src,1,31,15,11,1,8,0,8,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.targets\src\ch,1,31,15,11,1,8,0,8,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.targets\src\ch\fhnw,1,31,15,11,1,8,0,8,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.targets\src\ch\fhnw\mdt,1,31,15,11,1,8,0,8,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.targets\src\ch\fhnw\mdt\targets,1,31,15,11,1,8,0,8,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.ui,1,67,26,20,2,13,1,28,77,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.ui\src,1,67,26,20,2,13,1,28,77,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.ui\src\ch,1,67,26,20,2,13,1,28,77,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.ui\src\ch\fhnw,1,67,26,20,2,13,1,28,77,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.ui\src\ch\fhnw\mdt,1,67,26,20,2,13,1,28,77,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\ch.fhnw.mdt.ui\src\ch\fhnw\mdt\ui,1,67,26,20,2,13,1,28,77,0,0
